Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Garage Area,Yr Sold,SalePrice
7658,9,5,2005,2005,1752,1752,0,1752,2,0,2,1,6,576,2010,319900
7132,8,5,2006,2006,1370,1370,0,1370,2,0,2,1,6,484,2010,205000
2628,7,5,2003,2003,764,764,862,1626,2,1,2,1,6,474,2010,175500
18494,6,5,2005,2005,1324,1324,0,1324,2,0,3,1,6,430,2010,199500
3203,7,5,2006,2006,1145,1145,0,1145,2,0,2,1,6,437,2010,160000
3182,8,5,2004,2005,1256,1269,0,1269,2,0,2,1,6,430,2010,192000
13300,7,5,2004,2004,384,744,630,1374,2,1,3,1,7,400,2010,184500
7851,6,5,2002,2002,860,860,1100,1960,2,1,4,1,8,440,2010,216500
8577,7,5,2004,2004,847,847,886,1733,2,1,3,1,7,433,2010,185088
7750,7,5,2000,2000,384,774,656,1430,2,1,3,1,7,400,2010,180000
9505,7,5,2001,2001,884,884,1151,2035,2,1,3,1,8,434,2010,222500
14774,9,5,1999,1999,1393,1422,1177,2599,2,1,4,1,10,779,2010,333168
17433,8,5,1998,1998,1629,1645,830,2475,2,1,4,1,7,962,2010,355000
10593,7,5,1996,1996,1720,1720,0,1720,2,0,3,1,7,527,2010,260400
12256,8,5,1994,1995,1463,1500,1122,2622,2,1,3,1,9,712,2010,325000
11764,8,7,1999,2007,1152,1164,1106,2270,2,1,4,1,9,671,2010,290000
16770,7,5,1998,1998,1195,1195,644,1839,2,1,4,1,7,486,2010,221000
14720,8,5,1995,1996,2033,2053,1185,3238,2,1,4,1,9,666,2010,410000
8987,8,5,2005,2006,1595,1595,0,1595,2,0,2,1,6,880,2010,221500
9215,7,5,2009,2010,1218,1218,0,1218,2,0,2,1,4,676,2010,204500
8640,7,5,2009,2009,756,764,783,1547,2,1,3,1,7,614,2010,215200
9000,8,5,2008,2008,1566,1566,0,1566,2,0,3,1,7,750,2010,262500
12552,7,5,2004,2005,991,991,956,1947,2,1,3,1,8,678,2010,254900
10440,6,5,2005,2005,1468,1468,0,1468,2,0,2,1,6,528,2010,271500
10142,7,5,2004,2004,956,956,1128,2084,2,1,4,1,8,618,2010,233000
11920,7,5,2004,2004,831,831,828,1659,2,1,3,1,8,484,2010,181000
8880,7,5,1994,2002,948,1222,888,2110,2,1,3,1,8,463,2010,205000
8012,6,5,1980,1980,923,923,0,923,2,0,2,1,5,264,2010,143000
11218,6,5,1992,1992,1055,1055,790,1845,2,1,3,1,8,462,2010,189000
7892,6,5,1979,1979,918,918,0,918,2,0,2,1,5,264,2010,99500
7175,6,5,1984,1984,744,752,0,752,1,0,2,1,4,264,2010,125000
9453,7,7,1993,2003,996,1014,730,1744,2,1,3,1,7,457,2010,194500
9672,6,5,1984,1985,1040,1097,0,1097,2,0,3,1,6,480,2010,152000
8400,6,6,1980,1981,650,888,676,1564,2,1,3,1,7,476,2010,171000
9800,5,5,1920,1950,816,1012,0,1012,1,0,2,1,5,429,2010,67500
8930,6,5,1978,1978,0,1318,584,1902,2,0,4,2,8,539,2010,112000
11782,5,7,1961,1995,1109,1155,0,1155,1,0,3,1,6,576,2010,148000
8450,5,8,1965,2009,894,894,0,894,1,0,3,1,5,336,2010,138500
9819,5,5,1967,1967,882,900,0,900,1,0,3,1,5,280,2010,122000
7500,5,5,1963,1963,1040,1040,0,1040,1,1,3,1,5,308,2010,133000
6897,5,8,1962,2010,1040,1040,0,1040,1,1,3,1,6,260,2010,127000
15410,6,6,1974,2002,1208,1494,0,1494,2,0,3,1,7,461,2010,169000
10186,7,5,1992,1992,750,1061,862,1923,2,1,3,1,8,564,2010,190000
13143,8,5,1993,1993,1231,1251,1098,2349,2,1,4,1,9,762,2010,362500
11134,8,5,1992,1993,1390,1402,823,2225,2,1,4,1,7,713,2010,285000
4835,7,5,2004,2005,1488,1488,0,1488,2,0,2,1,6,506,2010,260000
3515,7,5,2004,2004,840,840,840,1680,2,1,2,1,3,588,2010,190000
3215,7,5,2004,2004,600,600,600,1200,2,1,2,1,4,480,2010,155000
3182,7,5,2004,2005,600,600,600,1200,2,1,2,1,4,480,2010,151000
2544,7,5,2004,2005,600,600,600,1200,2,1,2,1,4,480,2010,149500
2544,6,5,2005,2005,600,600,636,1236,2,1,2,1,4,480,2010,152000
4403,7,5,2009,2009,1470,1478,0,1478,2,1,2,1,7,484,2010,222000
2117,6,5,2000,2000,756,769,804,1573,2,1,3,1,5,440,2010,177500
2980,6,5,2000,2000,756,756,756,1512,2,1,2,1,5,440,2010,177000
2572,7,5,1999,1999,696,696,720,1416,2,1,3,1,6,484,2010,155000
2403,7,5,2003,2003,530,530,550,1080,2,1,2,1,4,496,2010,147110
12853,8,5,2010,2010,1642,1418,0,1418,1,1,1,1,6,852,2010,267916
7379,8,5,2000,2000,975,975,873,1848,2,1,3,1,7,592,2010,254000
4420,8,5,1980,1980,728,788,0,788,1,0,1,1,3,484,2010,155000
3880,8,6,1978,1978,1226,1226,0,1226,1,0,1,1,4,484,2010,206000
13517,6,8,1976,2005,725,725,754,1479,2,1,3,1,6,475,2010,130500
8000,7,5,2002,2002,1492,1492,0,1492,2,0,3,1,6,596,2010,230000
10456,6,6,1967,1967,1829,1829,0,1829,2,0,4,1,8,535,2010,218500
10791,6,5,1993,1993,1280,1280,1215,2495,2,1,4,1,9,660,2010,243500
10603,6,7,1977,2001,1610,1610,0,1610,2,0,3,1,6,480,2010,205000
18837,6,5,1978,1978,1224,1287,604,1891,3,0,3,1,7,678,2010,212500
10421,7,5,1988,1988,980,980,734,1714,2,1,3,1,7,496,2010,196500
9360,6,7,1972,2006,1161,1381,0,1381,1,1,3,1,5,676,2010,197500
9600,6,6,1971,1971,715,930,715,1645,1,2,4,1,7,441,2010,171000
9600,5,5,1966,1966,1232,1232,0,1232,1,1,3,1,6,490,2010,142250
9790,6,5,1963,1963,1328,1328,0,1328,1,1,3,1,6,528,2010,143000
9320,4,5,1959,1959,950,1225,0,1225,1,1,3,1,6,0,2010,128950
9900,5,5,1966,1966,1209,1209,0,1209,1,0,3,1,6,504,2010,159000
9680,5,6,1967,1967,1510,1510,0,1510,2,0,3,1,6,517,2010,178900
10600,6,5,1964,1964,533,1131,644,1775,2,0,3,1,8,480,2010,136300
14112,5,7,1964,1964,1152,1152,0,1152,1,0,3,1,6,484,2010,180500
8800,6,7,1963,1963,936,1054,0,1054,1,0,3,1,6,480,2010,137500
13260,5,6,1962,2001,1728,1728,0,1728,2,0,6,2,10,0,2010,84900
9717,5,6,1950,1996,1078,1078,0,1078,1,0,2,1,5,240,2010,142125
9724,5,7,1952,2002,1140,1929,532,2461,2,0,3,1,7,400,2010,197600
17360,6,6,1949,1950,782,1019,537,1556,2,0,3,1,6,470,2010,172500
7207,5,7,1958,2008,858,858,0,858,1,0,2,1,4,0,2010,116500
5350,3,2,1940,1966,728,1306,0,1306,1,0,3,1,6,0,2010,76500
9920,5,5,1954,1954,1056,1063,0,1063,1,0,3,1,6,280,2010,128000
9600,6,6,1955,1972,1156,1520,0,1520,1,0,3,1,7,364,2010,153000
7800,5,6,1954,1954,1268,1268,0,1268,1,0,2,1,7,244,2010,132000
11380,6,8,1966,2008,1080,1128,0,1128,1,0,2,1,5,315,2010,178000
11600,5,5,1960,1960,1105,1105,1169,2274,2,0,5,2,12,480,2010,154300
19900,7,5,1970,1989,1947,2207,0,2207,2,0,3,1,7,576,2010,180000
16492,6,6,1966,2002,1517,1888,0,1888,2,1,2,1,6,578,2010,190000
8267,5,5,1958,1958,1604,1604,0,1604,2,0,4,2,8,576,2010,135000
8197,7,5,2003,2009,1480,1480,0,1480,2,0,3,1,7,620,2010,214000
8050,5,5,1959,1959,1143,1143,0,1143,1,0,3,1,6,308,2010,136000
10552,5,5,1959,1959,1398,1700,0,1700,1,1,4,1,6,447,2010,165500
8400,5,6,1957,1957,1314,1314,0,1314,1,0,3,1,5,294,2010,145000
8760,6,6,1959,1959,1194,1194,0,1194,1,0,3,1,6,312,2010,148000
12160,5,5,1959,1959,1188,1188,0,1188,1,0,3,1,6,531,2010,142000
9300,5,5,1960,1960,1268,1264,0,1264,1,0,3,1,6,461,2010,167500
10725,5,5,1959,1959,1206,1206,0,1206,1,0,3,1,6,312,2010,108538
10032,6,5,1959,1959,1244,1580,0,1580,1,1,3,1,6,440,2010,159500
8382,4,5,1956,1956,832,832,505,1337,1,0,3,1,5,263,2010,108000
10950,5,7,1952,1952,864,1064,0,1064,1,0,2,1,4,318,2010,135000
10895,5,6,1955,1955,972,972,0,972,1,0,3,1,5,305,2010,122500
13587,5,5,1958,1958,988,988,0,988,1,0,2,1,5,264,2010,119000
7922,5,7,1953,2007,1057,1057,0,1057,1,0,3,1,5,246,2010,109000
7898,4,7,1920,1994,576,985,0,985,1,0,2,1,4,676,2010,105000
7200,5,7,1955,2007,0,827,0,827,1,0,2,1,5,392,2010,107500
10200,5,7,1954,2003,1086,1086,0,1086,1,0,3,1,6,490,2010,144900
5868,5,7,1956,2000,936,936,0,936,1,0,2,1,4,308,2010,129000
17503,6,5,1948,1950,912,912,546,1458,1,0,3,1,6,330,2010,97500
6979,6,5,1980,1980,1056,1056,0,1056,0,0,0,2,4,576,2010,144000
9830,5,7,1959,2006,1063,1287,0,1287,1,0,3,1,7,576,2010,162000
11275,7,7,1967,2007,710,1898,1080,2978,2,1,5,1,11,564,2010,242000
8064,6,8,1948,2004,816,816,408,1224,1,0,3,1,5,280,2010,132000
7500,5,7,1959,1994,1246,1246,0,1246,1,1,3,1,6,305,2010,154000
8520,5,4,1952,1952,910,910,475,1385,2,0,4,1,6,720,2010,166000
7200,5,7,1951,2000,900,900,0,900,1,0,3,1,5,576,2010,134800
10000,6,6,1962,1962,1116,1116,0,1116,1,1,3,1,5,440,2010,160000
7635,5,6,1960,1960,1175,1175,0,1175,1,1,3,1,6,484,2010,148000
9760,6,7,1963,1984,1395,1395,0,1395,1,0,2,1,7,440,2010,192000
7700,6,5,1966,1966,756,1051,788,1839,1,1,4,1,7,442,2010,155000
4800,4,5,1900,1954,709,1157,687,1844,1,0,3,1,9,240,2010,80400
8800,4,7,1910,2004,576,792,348,1140,1,0,3,1,7,0,2010,96500
4485,5,7,1920,1950,936,936,0,936,1,0,2,1,5,0,2010,109500
8960,5,6,1927,1950,1008,1028,0,1028,1,0,2,1,5,360,2010,115000
5805,5,7,1957,1957,1347,1347,0,1347,1,0,3,1,6,551,2010,143000
5790,3,6,1915,1950,840,840,765,1605,2,0,3,2,8,379,2010,107400
4608,4,6,1945,1950,747,747,0,747,1,0,2,1,4,220,2010,80000
7200,5,7,1940,1992,788,804,0,804,1,0,2,1,4,240,2010,119000
5500,5,7,1929,2001,926,926,0,1316,1,0,3,1,6,484,2010,130000
6900,6,7,1938,2000,827,827,424,1251,1,0,3,1,6,240,2010,119000
11851,5,7,1948,2009,1027,1027,606,1633,1,0,3,1,7,240,2010,129000
8239,5,6,1920,1962,1008,1060,185,1245,1,0,3,1,6,315,2010,100000
9656,2,2,1923,1970,678,832,0,832,1,0,2,1,5,780,2010,12789
8520,6,8,1928,2003,624,720,0,720,1,0,2,1,5,484,2010,105900
9600,8,9,1900,2003,930,930,636,1566,2,0,3,1,7,288,2010,150000
10800,5,6,1915,1950,686,966,686,1652,2,0,4,1,7,416,2010,139000
9000,8,9,1890,2002,346,1157,1111,2268,3,0,3,1,7,624,2010,240000
9045,5,3,1910,1950,840,1128,1128,2256,2,0,4,2,12,0,2010,76500
7407,6,7,1957,1996,912,1236,0,1236,1,0,2,1,6,923,2010,149700
7740,4,7,1910,1950,622,741,622,1363,1,0,3,1,6,528,2010,125500
11340,4,6,1885,1950,777,1246,1044,2290,2,0,4,2,11,560,2010,122500
10560,6,7,1922,1994,738,868,602,1470,1,1,2,1,6,624,2010,140750
5830,5,6,1950,1997,988,1030,582,1612,1,1,3,1,7,363,2010,128500
7793,7,7,1922,2005,1108,1160,908,2068,1,1,3,1,8,315,2010,209500
5000,4,7,1925,1950,765,765,0,765,1,0,2,1,4,200,2010,87000
6000,6,7,1939,1950,608,608,524,1132,1,0,2,1,5,240,2010,134000
6000,6,6,1940,1950,572,848,348,1196,1,1,3,1,6,576,2010,128000
6360,5,6,1942,1950,835,955,498,1453,1,1,3,1,7,240,2010,132000
6000,6,7,1948,1950,780,780,636,1416,1,1,3,1,6,312,2010,139900
6240,5,7,1936,1980,528,548,492,1040,1,0,2,1,5,624,2010,123900
6240,5,5,1930,1950,928,928,608,1536,2,0,4,1,7,480,2010,138400
6120,6,5,1923,1950,1124,1068,0,1068,1,0,2,1,5,288,2010,109500
10300,7,6,1921,1950,576,902,808,1710,2,0,3,1,9,480,2010,140000
8094,4,5,1915,1950,888,888,1074,1962,1,1,4,1,9,572,2010,149500
12900,6,8,1912,2009,780,780,780,1560,1,1,3,1,7,0,2010,159900
3068,6,8,1920,1993,662,662,662,1324,1,0,3,1,6,180,2010,122000
8472,5,5,1963,1963,816,816,0,816,1,0,2,1,5,516,2010,110000
5600,4,5,1930,1950,0,372,720,1092,2,0,3,2,7,0,2010,55000
7630,5,9,1900,1996,360,1032,780,1812,2,0,4,2,8,672,2010,140000
24090,7,7,1940,1950,1032,1207,1196,2403,2,0,4,1,10,349,2010,244400
15263,5,5,1959,1959,1422,1675,0,1675,2,0,3,1,8,365,2010,173000
10632,5,3,1917,1950,689,725,499,1224,1,1,3,1,6,180,2010,107500
9900,5,4,1915,1950,1212,1212,180,1392,1,0,3,1,6,0,2010,100000
6001,6,5,1940,1950,600,600,319,919,1,0,3,1,5,231,2010,95000
6449,4,1,1907,1950,707,942,942,1884,1,1,4,1,7,0,2010,93369
6048,5,7,1910,1950,856,936,744,1680,2,0,2,2,7,450,2010,114900
6342,5,8,1875,1996,780,780,240,1020,1,0,2,1,6,0,2010,94000
10773,4,3,1967,1967,1832,1832,0,1832,2,0,4,2,8,0,2010,136000
10778,4,5,1968,1968,1768,1768,0,1768,2,0,4,2,8,0,2010,136500
11625,5,4,1965,1965,1039,1039,0,1039,1,1,3,1,6,504,2010,131500
11341,5,6,1957,1996,1392,1392,0,1392,1,1,3,1,5,528,2010,121500
8521,5,5,1967,1967,912,912,0,912,1,0,3,1,5,336,2010,125000
8246,5,8,1968,2001,1060,1060,0,1060,1,0,3,1,6,270,2010,154000
7800,5,7,1966,2008,864,892,0,892,1,0,3,1,5,416,2010,137900
9364,6,7,1969,1969,663,663,689,1352,1,1,4,1,7,299,2010,158000
7832,5,5,1968,1968,864,864,0,864,1,0,2,1,4,280,2010,137250
7424,5,5,1978,1978,1319,1373,0,1373,1,0,3,1,5,591,2010,160250
11227,5,5,1968,1968,720,720,720,1440,1,1,4,1,7,480,2010,163000
11616,6,5,1978,1978,672,672,714,1386,2,1,3,1,6,440,2010,158900
14000,7,5,1996,1997,1306,1306,954,2260,2,1,3,1,7,533,2010,328000
20062,7,7,1977,2001,1420,1483,0,1483,1,1,1,1,4,690,2010,270000
9259,4,4,1927,1950,660,756,0,756,1,0,2,1,4,440,2010,85000
9600,4,7,1950,1995,1067,1067,0,1067,2,0,2,1,4,436,2010,128000
23595,7,6,1979,1979,1332,1332,192,1524,0,1,0,1,4,586,2010,260000
17082,6,5,1978,1992,1117,1117,864,1981,2,1,4,1,8,522,2010,230000
18600,3,4,1938,1990,972,1052,558,1610,2,0,4,1,8,480,2010,124000
10625,5,5,1920,1950,458,835,0,835,1,0,2,1,5,366,2010,83000
11479,6,7,1950,1987,663,1074,0,1074,1,0,3,1,6,467,2010,144500
9571,5,6,1956,1956,1144,1144,0,1144,1,0,3,1,6,596,2010,129000
9350,4,6,1947,1979,756,1169,0,1531,1,0,3,1,8,209,2010,127000
9525,5,7,1954,1998,1172,1172,0,1172,1,0,3,1,5,366,2010,128000
10420,6,5,2009,2009,1212,1212,0,1212,2,0,3,1,6,460,2010,186000
17485,7,5,2009,2010,1508,1508,0,1508,1,0,1,1,5,572,2010,308030
11200,5,3,1964,1964,1250,1298,0,1298,2,0,3,1,5,504,2010,114000
11100,4,7,1946,2006,0,930,0,930,1,0,2,1,6,308,2010,84900
9206,6,5,1985,1985,741,977,755,1732,2,1,3,1,7,476,2010,178000
11980,7,5,1987,1987,1433,1433,0,1433,1,1,1,1,4,528,2010,270000
12361,6,7,1993,1993,946,964,838,1802,2,1,3,1,8,1017,2010,218000
9938,7,5,1993,1994,1050,1062,887,1949,2,1,3,1,8,574,2010,236000
9069,6,6,1992,1992,936,996,0,996,1,0,2,1,5,564,2010,147000
10475,8,5,2008,2008,1694,1694,0,1694,2,0,3,1,7,776,2010,245350
6762,7,5,2006,2006,1187,1208,0,1208,2,0,2,1,6,632,2010,206000
10402,7,5,2009,2009,1226,1226,0,1226,2,0,3,1,6,740,2010,198900
7360,7,5,2010,2010,1222,1222,0,1222,2,0,2,1,6,615,2010,187000
12376,7,5,1990,1990,1673,1699,1523,3222,3,0,5,1,11,594,2010,320000
14235,6,8,1900,1993,676,831,614,1445,2,0,3,1,6,484,2010,138500
8816,6,7,1971,1971,1010,1052,0,1052,1,0,3,1,6,440,2010,155000
11105,5,5,1996,1996,870,965,0,965,1,0,2,1,4,580,2010,159000
9337,7,5,1997,1998,878,892,800,1692,2,1,3,1,8,513,2010,191000
8750,6,5,1998,1998,804,804,878,1682,2,1,3,1,7,523,2010,200500
15240,5,8,1977,2004,1026,1026,0,1026,1,1,3,1,5,308,2010,150000
10900,6,7,1977,1977,689,689,703,1392,1,1,3,1,6,299,2010,161750
10650,5,6,1976,1976,894,894,0,894,1,0,3,1,5,308,2010,128200
7480,5,6,1972,1972,876,876,0,876,1,0,3,1,5,484,2010,127000
10389,8,5,2003,2003,1978,1978,0,1978,2,1,3,1,8,850,2010,318000
11423,8,5,2001,2002,1581,1601,0,1601,2,0,3,1,6,670,2010,272000
9548,7,6,2003,2003,941,941,888,1829,2,1,3,1,7,613,2010,237000
9375,7,5,1997,1997,1040,1044,1054,2098,2,1,4,1,9,621,2010,240000
12137,7,5,1998,1998,1649,1661,0,1661,2,0,3,1,6,598,2010,224900
4435,6,5,2003,2003,848,848,0,848,1,0,1,1,4,420,2010,143750
4426,6,5,2004,2004,848,848,0,848,1,0,1,1,3,420,2010,143000
10635,8,5,2003,2003,1657,1668,0,1668,2,0,3,1,8,502,2010,232000
8400,7,5,2004,2005,1473,1484,0,1484,2,0,3,1,7,606,2010,213000
8773,7,5,2004,2004,1414,1414,0,1414,2,0,3,1,6,494,2010,185500
8777,3,6,1945,2007,0,640,0,640,1,0,2,1,5,240,2010,84900
8842,5,6,1954,1954,381,992,0,992,1,0,3,1,6,319,2010,155891
9825,5,5,1965,1965,0,1664,0,1664,2,0,4,2,8,0,2010,100000
10044,5,6,1968,1968,1196,1196,0,1196,1,0,3,1,6,336,2010,144000
11792,4,5,1948,1950,744,792,328,1120,1,0,2,1,5,480,2010,64000
6305,6,6,1975,1975,1008,1096,0,1096,1,0,3,1,5,352,2010,125200
7819,6,5,1976,1976,1029,1117,0,1117,1,0,3,1,6,672,2010,107000
6410,4,5,1958,1958,960,960,0,960,1,0,3,1,5,0,2010,90000
8546,4,5,2003,2004,1121,1121,0,1121,2,0,2,1,5,440,2010,140000
8741,6,4,1945,1950,735,798,689,1487,1,1,3,1,7,220,2010,113000
12180,4,4,1941,1950,672,672,252,924,1,0,2,1,5,280,2010,80000
8562,5,6,1957,2002,1216,1526,0,1526,1,0,4,1,7,364,2010,144500
4853,5,6,1924,1999,1107,1296,0,1296,2,0,2,1,5,260,2010,104000
6858,6,4,1915,1950,806,841,806,1647,1,1,4,1,6,216,2010,128000
8212,3,3,1914,1950,864,864,0,864,1,0,2,1,5,200,2010,58500
5000,5,6,1924,1950,1026,1026,665,1691,2,0,3,1,6,308,2010,127000
7890,6,6,1939,1950,856,856,0,856,1,0,2,1,4,399,2010,126000
7200,4,6,1967,1967,0,862,1788,2650,3,0,6,2,10,0,2010,160000
9839,5,2,1931,1950,894,894,772,1666,1,0,3,1,7,0,2010,100000
9638,6,7,1919,1990,804,1699,748,2447,2,0,4,1,10,336,2010,169000
10452,7,6,1941,1985,1528,1225,908,2133,1,1,4,1,8,312,2010,257500
15600,5,6,1950,1991,1032,1102,1075,2177,2,1,5,2,11,484,2010,215000
9042,7,9,1941,2006,1152,1188,1152,2340,2,0,4,1,9,252,2010,266500
17500,7,8,1959,2002,1902,1902,0,1902,2,0,3,1,7,567,2010,335000
19645,7,6,1994,2007,423,896,756,1652,2,1,3,1,6,473,2010,203135
3907,8,6,1989,1989,982,1034,0,1034,1,0,1,1,4,598,2010,185000
3907,8,5,1989,1989,1191,1191,0,1191,2,0,2,1,5,531,2010,162500
15602,7,8,1959,1997,1501,1801,0,1801,2,0,1,1,6,484,2010,289000
5436,4,8,1922,2007,796,796,358,1154,1,0,3,1,7,240,2010,125500
8154,2,5,1941,1950,480,540,0,540,1,0,1,1,4,200,2010,82000
9140,6,5,1921,1975,629,727,380,1107,1,0,2,1,5,625,2010,110000
7500,4,4,1920,1950,698,698,430,1128,1,0,2,1,6,528,2010,68400
8712,4,7,1900,1950,859,859,319,1178,1,0,2,1,7,384,2010,102776
8712,5,5,1952,1952,540,1044,0,1044,1,0,2,1,4,504,2010,55993
8712,4,7,1896,1950,756,952,0,952,1,0,3,1,5,330,2010,50138
3811,8,5,2004,2005,1594,1646,0,1646,2,0,2,1,5,525,2010,246000
11050,8,5,1998,1999,1049,1036,880,1916,2,1,3,1,8,741,2010,254900
9620,6,7,1977,1977,1243,1285,0,1285,2,0,3,1,6,473,2010,190000
9196,7,5,2003,2003,1560,1560,0,1560,2,0,3,1,7,573,2010,201000
12328,6,5,1976,1976,1012,1034,0,1034,1,0,3,1,6,888,2010,169900
12760,6,5,1976,1976,1958,2048,0,2048,3,0,5,2,9,776,2010,170000
57200,5,5,1948,1950,747,1687,0,1687,1,0,3,1,7,572,2010,160000
11896,7,5,2008,2008,1336,1346,0,1346,2,0,3,1,6,660,2010,220000
9803,7,5,2009,2010,1214,1214,0,1214,2,0,2,1,6,520,2010,179781
9802,5,5,2006,2007,384,744,700,1444,2,1,3,1,7,400,2010,174000
12003,8,5,2009,2010,774,774,1194,1968,2,1,4,1,8,680,2010,269500
11316,7,5,2002,2003,817,824,1070,1894,2,1,4,1,8,510,2010,214900
14191,8,5,2002,2002,967,993,915,1908,2,1,4,1,9,431,2010,202900
13214,9,5,2008,2009,2002,2018,0,2018,2,0,3,1,10,746,2010,378500
15300,5,5,1965,1977,1068,1264,0,1264,1,0,2,1,7,528,2010,169000
10114,5,5,2004,2005,1430,1430,0,1430,2,0,3,1,7,624,2010,173500
9400,6,5,1971,1971,912,912,912,1824,2,2,4,2,8,0,2010,139000
11875,5,5,1999,1999,1344,1344,0,1344,2,0,3,1,7,686,2010,166500
1974,4,5,1973,1973,546,546,546,1092,1,1,3,1,6,286,2010,83500
2394,5,6,1973,1973,945,945,0,945,1,0,2,1,5,253,2010,119500
2592,5,3,1976,1976,536,536,576,1112,1,1,3,1,4,336,2010,85000
1476,4,7,1970,1970,546,546,546,1092,1,1,3,1,5,0,2010,76000
1491,4,6,1972,1972,630,630,0,630,1,0,1,1,3,0,2010,75500
1900,4,4,1970,1970,546,546,546,1092,1,1,3,1,5,0,2010,88250
1890,4,6,1972,1972,546,546,546,1092,1,1,3,1,5,286,2010,85500
6953,5,7,1971,2004,864,874,0,874,1,0,3,1,5,352,2010,130000
